순,키워드,출처,성취기준코드,성취기준명
,,완산고등학교,[12인기02-05]," 최상 우선 탐색 방법을 활용하여 문제 해결을 위한 최적의 경로를 찾고, 
최적화 과정에서 정보 이용의 중요성을 인식한다."
,,정보,[12정보04-09],다양한 학문 분야의 문제 해결을 위한 알고리즘을 협력하여 설계한다.
,,정보,[12정보04-04],표준입출력과 파일입출력을 활용한 프로그램을 작성한다.
,,정보,[12정보02-02],"컴퓨팅 환경에서 생산되는 방대하고 복잡한 종류의 자료들을 수집, 분석, 활용하기 위한 컴퓨팅 기술의 역할과 중요성을 이해한다."
34,Python 코드,완산고등학교,[12인기04-02]," 축적된 데이터의 질과 양, 인간의 편향적 성향이 인공지능의 수행 결과에 미치는 영향을 탐색하고, 올바른 데이터 활용의 중요성을 인식한다."
,,인공지능기초,[12인기04-02],인공지능 문제 해결 과정에 기반하여 프로젝트 수행 계획을 구안한다
,,정보,[12정보02-02],"컴퓨팅 환경에서 생산되는 방대하고 복잡한 종류의 자료들을 수집, 분석, 활용하기 위한 컴퓨팅 기술의 역할과 중요성을 이해한다."
35,RGB,완산고등학교,[12인기02-02] ,"이미지 인식, 컴퓨터 비전의 활용 분야를 탐색하고, 
컴퓨터 비전의 한계를 인간의 시각 처리와 비교하여 설명한다."
,,정보,[12정보05-04],피지컬 컴퓨팅 장치의 동작을 제어하기 위한 프로그램을 작성한다.
36,RSS,완산고등학교,[12인기03-03]," 정형 데이터와 비정형 데이터의 특성을 이해하고,
 차이를 비교한다."
,,정보,[12정보03-05],다양한 알고리즘의 성능을 수행시간의 관점에서 분석하고 비교한다.
37,Visual Studio Code,완산고등학교,[12인기02-05]," 최상 우선 탐색 방법을 활용하여 문제 해결을 위한 최적의 경로를 찾고, 
최적화 과정에서 정보 이용의 중요성을 인식한다."
,,정보,[12정보04-09],다양한 학문 분야의 문제 해결을 위한 알고리즘을 협력하여 설계한다.
,,정보,[12정보04-04],표준입출력과 파일입출력을 활용한 프로그램을 작성한다.
38,Windows 10,완산고등학교,[12인기02-05]," 최상 우선 탐색 방법을 활용하여 문제 해결을 위한 최적의 경로를 찾고, 
최적화 과정에서 정보 이용의 중요성을 인식한다."
,,완산고등학교,[12인기02-01] ,"지능 에이전트가 다양한 센서를 통해 
주변의 환경 및 상황 정보를 탐지하여 인식하는 방법과 원리를 설명한다."
,,완산고등학교,[12인기04-02]," 축적된 데이터의 질과 양, 인간의 편향적 성향이 인공지능의 수행 결과에 미치는 영향을 탐색하고, 올바른 데이터 활용의 중요성을 인식한다."
,,정보,[12정보04-09],다양한 학문 분야의 문제 해결을 위한 알고리즘을 협력하여 설계한다.
,,정보,[12정보04-09],다양한 학문 분야의 문제 해결을 위한 알고리즘을 협력하여 설계한다.
,,정보,[12정보04-04],표준입출력과 파일입출력을 활용한 프로그램을 작성한다.
,,정보,[12정보02-04],정보를 관리하는 데 적합한 컴퓨팅 도구를 선택하고 이를 활용하여 정보를 체계적으로 관리한다.
,,정보,[12정보02-02],"컴퓨팅 환경에서 생산되는 방대하고 복잡한 종류의 자료들을 수집, 분석, 활용하기 위한 컴퓨팅 기술의 역할과 중요성을 이해한다."
39,XOR 논리 함수,완산고등학교,[12인기02-09] ,"딥러닝의 개념을 이해하고, 활용 분야를 탐색한다. "
